formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6,3-7;types=1,0,0,0,0,0,0,0",tertiary_amine,8,0.002958668082789335,0.0037100456621004564,9.532812500000002,1,"1,1,1,1,1,2,3,4",,,3,0,2.73125,9.532812500000002,39.437046875,181.64321640625002,0.31631356526602417,0.001474602386392119,0.23180977809434178,0.3455315373542025,0.13262828445733968,7.305683708453512e-05,0.11240835812572805,0.14188705128534623,0.2263049208984049
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6,4-7;types=0,0,0,1,0,0,0,0",tertiary_amine,8,0.010325344291403842,0.012842465753424657,9.381562500000001,1,"1,1,1,1,2,2,3,3",,,3,0,2.73125,9.381562500000003,37.171390625000015,160.28441640625007,0.31531749779795,0.00097122195047922,0.2594840883347521,0.34554636048081755,0.1337907520115696,8.505094269136629e-05,0.11648741947375012,0.14197228857017172,0.218155814008206
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6,5-7;types=0,0,0,0,0,0,1,0",primary_amine,8,0.019278657678319187,0.01797945205479452,9.450312499999995,1,"1,1,1,1,2,2,3,3",,,1,2,2.7312499999999993,9.450312499999995,37.93123437499999,166.18091640624993,0.3167698992422472,0.0018428056270311994,0.2584108304486378,0.38732332077850085,0.1347103431207612,0.0002989643597087693,0.1142760422477835,0.17247478009254744,-0.06976910719921932
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6,6-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.019278657678319187,0.01769406392694064,9.450312499999995,1,"1,1,1,1,2,2,3,3",,,1,2,2.73125,9.450312500000003,37.93123437500002,166.24966640625004,0.3168085567286088,0.0018849314362868698,0.2583957407055083,0.38988307051745685,0.13485381043671216,0.0003528494585309086,0.11415076672760979,0.1774183688197637,-0.08576944764857918
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6,6-7;types=0,0,0,0,0,0,1,0",secondary_amine,8,0.01995288340087943,0.01598173515981735,9.415937500000005,1,"1,1,1,1,2,2,3,3",,,2,1,2.73125,9.4159375,37.579671875,163.76058046875002,0.31599525822489116,0.0013092530427129124,0.2584096373460772,0.3470344048411131,0.13425294273896893,0.00017114659645489898,0.11425948208976835,0.15416634358652018,-0.2219271341502601
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6,6-7;types=0,0,0,1,0,0,0,0",tertiary_amine,8,0.020650688582823967,0.020833333333333332,9.381562500000003,1,"1,1,1,1,2,2,3,3",,,3,0,2.731250000000001,9.381562500000006,37.17139062500003,160.36691640625017,0.3153410215524271,0.000984727796376904,0.2594851589578204,0.34553170926269994,0.1337949983200286,7.240608188343952e-05,0.11649690243843563,0.14189179413702765,0.008805603383410708
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,4-6,4-7;types=0,0,0,0,0,1,0,0",primary_amine,8,0.009639328839163828,0.012271689497716894,9.450312499999999,1,"1,1,1,1,2,2,3,3",,,1,2,2.7312499999999997,9.4503125,37.931234375,165.94716640625003,0.3167012429238115,0.0018113854179312317,0.26025020142377026,0.38988325354220876,0.13465142233789323,0.000331209991326175,0.11690091724422177,0.17742367839733542,0.24144343666081183
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,4-6,4-7;types=0,0,0,1,0,0,0,0",secondary_amine,8,0.009976441700450348,0.010559360730593607,9.415937499999995,1,"1,1,1,1,2,2,3,3",,,2,1,2.73125,9.415937499999998,37.579671874999995,163.45808046874996,0.3158883602477879,0.0012364149407044574,0.26145320582124876,0.3470345876970399,0.13405584349085287,0.0001520476014255306,0.11914508391352885,0.15434884359139373,0.05678625033090039
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,4-6,5-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.020793151221011778,0.020833333333333332,9.3746875,1,"1,1,1,2,2,2,2,3",,,1,2,2.73125,9.3746875,36.860796875,156.52075234375002,0.31611302572642674,0.0014473226583426903,0.26023163040370734,0.3899155117355052,0.13522588356591553,0.0003198440016848452,0.11673220163032676,0.17766617985137378,0.0019306037154858343
C7H17N,"het:edges=0-1,0-2,0-3,2-4,3-5,4-6,5-7;types=0,0,0,0,0,1,0,0",secondary_amine,8,0.02152034279422783,0.02026255707762557,9.340312499999994,1,"1,1,1,2,2,2,2,3",,,2,1,2.7312499999999993,9.340312499999996,36.50923437499997,154.10041640624982,0.3153330628962402,0.0008994893798765565,0.26024666563709287,0.34706679590268397,0.1347294717498843,0.00016387426828546914,0.11685605548377911,0.1580117642335403,-0.060223957414901594
