seed,n,cyclomatic,cycle_load,C_norm_fdm,C_norm_fdm_loopy,penalty_factor,mode
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,11,3,0.2727272727272727,0.1572904168753327,0.3417491784836775,2.172727272727273,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,10,3,0.3,0.1772298158217715,0.38990559480789727,2.1999999999999997,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,20,3,0.15,0.0924198033595334,0.18946059688704345,2.05,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,8,3,0.375,0.19656700493181006,0.44718993621986786,2.275,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,11,3,0.2727272727272727,0.1606994205781388,0.34915601380159245,2.1727272727272724,CY1B
Na,10,3,0.3,0.1651686815541613,0.3633710994191548,2.1999999999999993,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,12,1,0.08333333333333333,0.15303273459907926,0.21169528286205966,1.3833333333333335,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
K,1,0,0.0,0.0,0.0,1.0,CY1B
K,1,0,0.0,0.0,0.0,1.0,CY1B
K,18,2,0.1111111111111111,0.09970708544329421,0.17060990175852567,1.7111111111111112,CY1B
