idx,n,cyclomatic,total_off,total_on,t_off_sec,t_on_sec,speedup
136,20,0,6.56380794502012,6.5547086010740125,0.39368959999410436,0.000484099960885942,813.2403053154985
137,20,0,6.389361353925814,6.384197207405854,0.3900786999729462,0.0004854000289924443,803.6231493076779
138,20,0,6.249853349004157,6.224945371888634,0.3988571999943815,0.0004980000085197389,800.9180585758409
139,20,0,6.738766287136218,6.7248127903938215,0.3940252999891527,0.0004640000406652689,849.1923824493882
140,20,0,5.987864142948685,5.980720106436314,0.4036969000007957,0.0004670000053010881,864.4473135295168
141,20,0,7.8519308549591855,7.842979416464454,0.3961624999647029,0.0004655999946407974,850.8644856629254
142,20,0,8.048088187187798,8.01569980140176,0.3974682999541983,0.0005308000254444778,748.8098735891524
143,20,0,7.048137493827305,7.044649607417211,0.39676300005521625,0.0004317000275477767,919.0710556795275
144,20,0,6.635922660075651,6.6063276858733655,0.40427170001203194,0.0005150999641045928,784.8412506003266
145,20,0,6.237618934882429,6.2105148205239065,0.40459210000699386,0.0005650999955832958,715.9654984413407
146,20,0,6.131287070014474,6.129864183776122,0.40529580001020804,0.00045490002958104014,890.9557565504728
147,20,0,8.090147548863335,8.059722633773022,0.4019526999909431,0.00048129999777302146,835.1396257028488
148,20,0,6.393789805205185,6.369875054477638,0.39054890000261366,0.0004385000211186707,890.6473915469206
149,20,0,7.2302430899170655,7.2163360004156445,0.38917430001311004,0.0004975000047124922,782.2598921140028
150,20,0,6.372607129598007,6.363888195418827,0.3878637999878265,0.0004498999915085733,862.111152052412
151,20,0,6.3226952631243805,6.306600304849989,0.3924464000156149,0.0004906000103801489,799.9314955405766
152,20,0,7.005867573656177,7.001822778749003,0.39439189998665825,0.00046579999616369605,846.6979459743429
153,20,0,7.8568587844467626,7.846099304907484,0.3883244000026025,0.0004940999788232148,785.9227214044104
154,20,0,6.508721735976538,6.4954813427878975,0.38886200002161786,0.00045359996147453785,857.2796143049188
155,20,0,7.220522432007232,7.206760381787482,0.3855306999757886,0.0005114999949000776,753.7257161676075
156,20,0,6.847093189346435,6.839713647943541,0.38465649995487183,0.00043559999903663993,883.0498181945977
157,20,0,6.696929389476535,6.680701792539019,0.39034850004827604,0.00048539997078478336,804.1790761074207
158,20,0,6.482964795147393,6.478132997134306,0.3857589000253938,0.0004256999818608165,906.1755143591209
159,20,0,7.138675192960534,7.1342335662293275,0.4032837999984622,0.00044159998651593924,913.233270635315
160,20,0,6.134502566566917,6.1303244517481295,0.408753199968487,0.00048619997687637806,840.7100358057344
161,20,0,8.098883651528471,8.0842599290759,0.3935504999826662,0.001649599988013506,238.57329221770343
162,20,0,7.773791440731481,7.755351996156984,0.4057088000117801,0.0004729999927803874,857.7353196708178
163,20,0,6.997571594499262,6.995651103710957,0.3948765999521129,0.0004635000368580222,851.9451317175842
164,20,0,7.60743088203,7.601876645541452,0.4020573999732733,0.0004389999667182565,915.8483609437438
165,20,0,6.937472805805148,6.926720315253902,0.3883251999504864,0.0005611999658867717,691.9551381954918
166,20,0,8.240261836112447,8.212394778483516,0.3857387999887578,0.0004401999758556485,876.2808295002048
167,20,0,7.86475938381031,7.8555535246351695,0.39448910002829507,0.00044570001773536205,885.1000321532994
168,20,0,6.856530443656169,6.849072042456064,0.3878737000050023,0.0004773000255227089,812.6412722903743
169,20,0,6.674914356967661,6.6523766792927885,0.39367809996474534,0.0004673000075854361,842.4525862922642
170,20,0,6.292732203316484,6.281531906131578,0.3930422000121325,0.0005303000216372311,741.1694964647876
171,20,0,7.099697720089685,7.094477568082804,0.3891227000276558,0.00047969998558983207,811.1793031413088
172,20,0,5.921816338851502,5.9163163428129355,0.4061731999972835,0.0004851999692618847,837.1253621783583
173,20,0,6.672155418993737,6.654505744622207,0.39636389998486266,0.0004737999988719821,836.5637419344059
174,20,0,7.092015052682807,7.065296909123706,0.3959271000348963,0.00045140000293031335,877.109210156605
175,20,0,6.373268795076253,6.333043867603005,0.40665140002965927,0.0013870999682694674,293.16661331698657
176,20,0,7.894086103891079,7.881851995287088,0.389629999990575,0.0004556000349111855,855.201865966778
177,20,0,6.815016002816658,6.796380530624904,0.4010924999602139,0.000500100024510175,802.0245556937647
178,20,0,7.052739254892072,7.044321509664814,0.403047300002072,0.0004916999605484307,819.7017131189566
179,20,0,8.361267753843489,8.354646336214941,0.40802329999860376,0.0005138999549672008,793.9741890513408
180,20,0,6.316869966665655,6.3122311612840045,0.3893670999677852,0.00045200000749900937,861.4316228050915
181,20,0,8.120251594414668,8.101446835021992,0.3927753000170924,0.00044410000555217266,884.4298471213357
182,20,0,6.308691928744385,6.306279330605495,0.3985892999917269,0.00044650002382695675,892.6971527916471
183,20,0,6.458572939808556,6.4502301336861745,0.3998431999934837,0.0004900000058114529,816.006520921021
184,20,0,6.526246492769242,6.512778617319884,0.39073300000745803,0.00045599997974932194,856.870652104539
185,20,0,6.211837540964118,6.2030627939952785,0.393295300018508,0.0004931999719701707,797.4357712297171
186,20,0,6.189842307411587,6.161897469685871,0.3986129999975674,0.0004985000123269856,799.6248548457438
187,20,0,6.822318610552191,6.81289394404526,0.39603569998871535,0.0005441000103019178,727.8729874843368
188,20,0,6.946615380281994,6.924774649051665,0.3940256999921985,0.0005415000487118959,727.6558902062798
189,20,0,6.66497608205439,6.652503693249321,0.39587040001060814,0.0005052000051364303,783.5914409852442
190,20,0,8.544575480876992,8.537942570051694,0.3971198999788612,0.0004526000120677054,877.4191104516701
191,20,0,7.493369394877984,7.487468898647195,0.4048500999924727,0.0004887999966740608,828.2530743600491
192,20,0,7.03414869232552,7.018368933020958,0.4083360999939032,0.0004582999972626567,890.9799311211459
193,20,0,6.941707691235577,6.933278115156642,0.38713809999171644,0.000443600001744926,872.718887441133
194,20,0,6.444963554174363,6.441657320000552,0.3906645000097342,0.0005920999683439732,659.7948334676864
195,20,0,6.940427105264013,6.926768640823909,0.40247610001824796,0.0005301000201143324,759.2455852603846
196,20,0,5.569460032896117,5.56851417608148,0.40116959996521473,0.00042970001231878996,933.6038828586097
197,20,0,7.1229337142611255,7.1098512649400165,0.38968319998821244,0.0004553000326268375,855.8822140643148
198,20,0,7.0356193018149416,7.019913308126714,0.3925631999736652,0.00046769995242357254,839.3483855182013
199,20,0,6.672893892021314,6.650395564285421,0.39135250000981614,0.0004490000428631902,871.6090482179771
